,trees,strength_a,strength_b,strength_c,action_a,action_b,action_c,reward,blame_a,blame_b,blame_c,w,rationality_beta,k
0,1,1,1,1,1,1,1,0.0,0.5156046866868781,0.5156046866868781,0.5156046866868781,0.5,1,1
1,1,1,1,1,1,1,0,1.0,0.7656046866868781,0.7656046866868781,0.40106197997978854,0.5,1,1
2,1,1,1,1,1,0,1,1.0,0.7656046866868781,0.40106197997978854,0.7656046866868781,0.5,1,1
3,1,1,1,1,1,0,0,2.0,0.5156046866868781,0.4843953133131219,0.4843953133131219,0.5,1,1
4,1,1,1,1,0,1,1,1.0,0.40106197997978854,0.7656046866868781,0.7656046866868781,0.5,1,1
5,1,1,1,1,0,1,0,2.0,0.4843953133131219,0.5156046866868781,0.4843953133131219,0.5,1,1
6,1,1,1,1,0,0,1,2.0,0.4843953133131219,0.4843953133131219,0.5156046866868781,0.5,1,1
7,1,1,1,1,0,0,0,0.0,0.7343953133131219,0.7343953133131219,0.7343953133131219,0.5,1,1
8,1,1,1,2,1,1,1,0.0,0.5,0.5,0.5612296656009272,0.5,1,1
9,1,1,1,2,1,1,0,2.0,0.75,0.75,0.1887703343990727,0.5,1,1
10,1,1,1,2,1,0,1,1.0,0.41666666666666663,0.41666666666666663,0.8112296656009272,0.5,1,1
11,1,1,1,2,1,0,0,3.0,0.5,0.5,0.1887703343990727,0.5,1,1
12,1,1,1,2,0,1,1,1.0,0.41666666666666663,0.41666666666666663,0.8112296656009272,0.5,1,1
13,1,1,1,2,0,1,0,3.0,0.5,0.5,0.1887703343990727,0.5,1,1
14,1,1,1,2,0,0,1,2.0,0.5,0.5,0.5612296656009272,0.5,1,1
15,1,1,1,2,0,0,0,0.0,0.75,0.75,0.1887703343990727,0.5,1,1
16,1,1,1,3,1,1,1,0.0,0.48439531331312186,0.48439531331312186,0.6028925139185056,0.5,1,1
17,1,1,1,3,1,1,0,3.0,0.7343953133131218,0.7343953133131218,0.14710748608149438,0.5,1,1
18,1,1,1,3,1,0,1,1.0,0.40106197997978854,0.43227135335354483,0.8528925139185056,0.5,1,1
19,1,1,1,3,1,0,0,4.0,0.48439531331312186,0.5156046866868782,0.14710748608149438,0.5,1,1
20,1,1,1,3,0,1,1,1.0,0.43227135335354483,0.40106197997978854,0.8528925139185056,0.5,1,1
21,1,1,1,3,0,1,0,4.0,0.5156046866868782,0.48439531331312186,0.14710748608149438,0.5,1,1
22,1,1,1,3,0,0,1,2.0,0.5156046866868782,0.5156046866868782,0.6028925139185056,0.5,1,1
23,1,1,1,3,0,0,0,0.0,0.7656046866868782,0.7656046866868782,0.14710748608149438,0.5,1,1
24,1,1,2,1,1,1,1,0.0,0.5,0.5612296656009272,0.5,0.5,1,1
25,1,1,2,1,1,1,0,1.0,0.41666666666666663,0.8112296656009272,0.41666666666666663,0.5,1,1
26,1,1,2,1,1,0,1,2.0,0.75,0.1887703343990727,0.75,0.5,1,1
27,1,1,2,1,1,0,0,3.0,0.5,0.1887703343990727,0.5,0.5,1,1
28,1,1,2,1,0,1,1,1.0,0.41666666666666663,0.8112296656009272,0.41666666666666663,0.5,1,1
29,1,1,2,1,0,1,0,2.0,0.5,0.5612296656009272,0.5,0.5,1,1
30,1,1,2,1,0,0,1,3.0,0.5,0.1887703343990727,0.5,0.5,1,1
31,1,1,2,1,0,0,0,0.0,0.75,0.1887703343990727,0.75,0.5,1,1
32,1,1,2,2,1,1,1,0.0,0.23439531331312186,0.5463332999770348,0.5463332999770348,0.5,1,1
33,1,1,2,2,1,1,0,2.0,0.23439531331312186,0.7963332999770348,0.20366670002296514,0.5,1,1
34,1,1,2,2,1,0,1,2.0,0.23439531331312186,0.20366670002296514,0.7963332999770348,0.5,1,1
35,1,1,2,2,1,0,0,4.0,0.23439531331312186,0.20366670002296514,0.20366670002296514,0.5,1,1
36,1,1,2,2,0,1,1,1.0,0.43227135335354483,0.46299996664370147,0.46299996664370147,0.5,1,1
37,1,1,2,2,0,1,0,3.0,0.5156046866868782,0.5463332999770348,0.20366670002296514,0.5,1,1
38,1,1,2,2,0,0,1,3.0,0.5156046866868782,0.20366670002296514,0.5463332999770348,0.5,1,1
39,1,1,2,2,0,0,0,0.0,0.7656046866868782,0.20366670002296514,0.20366670002296514,0.5,1,1
40,1,1,2,3,1,1,1,0.0,0.2189117495571009,0.5310882504428991,0.5895893495876965,0.5,1,1
41,1,1,2,3,1,1,0,3.0,0.2189117495571009,0.7810882504428991,0.16041065041230354,0.5,1,1
42,1,1,2,3,1,0,1,2.0,0.2189117495571009,0.21891174955710097,0.8395893495876965,0.5,1,1
43,1,1,2,3,1,0,0,5.0,0.2189117495571009,0.21891174955710097,0.16041065041230354,0.5,1,1
44,1,1,2,3,0,1,1,1.0,0.4477549171095657,0.4477549171095657,0.5062560162543631,0.5,1,1
45,1,1,2,3,0,1,0,4.0,0.5310882504428991,0.5310882504428991,0.16041065041230354,0.5,1,1
46,1,1,2,3,0,0,1,3.0,0.5310882504428991,0.21891174955710097,0.5895893495876965,0.5,1,1
47,1,1,2,3,0,0,0,0.0,0.7810882504428991,0.21891174955710097,0.16041065041230354,0.5,1,1
48,1,1,3,1,1,1,1,0.0,0.48439531331312186,0.6028925139185056,0.48439531331312186,0.5,1,1
49,1,1,3,1,1,1,0,1.0,0.40106197997978854,0.8528925139185056,0.43227135335354483,0.5,1,1
50,1,1,3,1,1,0,1,3.0,0.7343953133131218,0.14710748608149438,0.7343953133131218,0.5,1,1
51,1,1,3,1,1,0,0,4.0,0.48439531331312186,0.14710748608149438,0.5156046866868782,0.5,1,1
52,1,1,3,1,0,1,1,1.0,0.43227135335354483,0.8528925139185056,0.40106197997978854,0.5,1,1
53,1,1,3,1,0,1,0,2.0,0.5156046866868782,0.6028925139185056,0.5156046866868782,0.5,1,1
54,1,1,3,1,0,0,1,4.0,0.5156046866868782,0.14710748608149438,0.48439531331312186,0.5,1,1
55,1,1,3,1,0,0,0,0.0,0.7656046866868782,0.14710748608149438,0.7656046866868782,0.5,1,1
56,1,1,3,2,1,1,1,0.0,0.2189117495571009,0.5895893495876965,0.5310882504428991,0.5,1,1
57,1,1,3,2,1,1,0,2.0,0.2189117495571009,0.8395893495876965,0.21891174955710097,0.5,1,1
58,1,1,3,2,1,0,1,3.0,0.2189117495571009,0.16041065041230354,0.7810882504428991,0.5,1,1
59,1,1,3,2,1,0,0,5.0,0.2189117495571009,0.16041065041230354,0.21891174955710097,0.5,1,1
60,1,1,3,2,0,1,1,1.0,0.4477549171095657,0.5062560162543631,0.4477549171095657,0.5,1,1
61,1,1,3,2,0,1,0,3.0,0.5310882504428991,0.5895893495876965,0.21891174955710097,0.5,1,1
62,1,1,3,2,0,0,1,4.0,0.5310882504428991,0.16041065041230354,0.5310882504428991,0.5,1,1
63,1,1,3,2,0,0,0,0.0,0.7810882504428991,0.16041065041230354,0.21891174955710097,0.5,1,1
64,1,1,3,3,1,1,1,0.0,0.2036667000229651,0.5756774323330272,0.5756774323330272,0.5,1,1
65,1,1,3,3,1,1,0,3.0,0.2036667000229651,0.8256774323330272,0.17432256766697288,0.5,1,1
66,1,1,3,3,1,0,1,3.0,0.2036667000229651,0.17432256766697288,0.8256774323330272,0.5,1,1
67,1,1,3,3,1,0,0,6.0,0.2036667000229651,0.17432256766697288,0.17432256766697288,0.5,1,1
68,1,1,3,3,0,1,1,1.0,0.4629999666437016,0.4923440989996938,0.4923440989996938,0.5,1,1
69,1,1,3,3,0,1,0,4.0,0.546333299977035,0.5756774323330272,0.17432256766697288,0.5,1,1
70,1,1,3,3,0,0,1,4.0,0.546333299977035,0.17432256766697288,0.5756774323330272,0.5,1,1
71,1,1,3,3,0,0,0,0.0,0.796333299977035,0.17432256766697288,0.17432256766697288,0.5,1,1
72,1,2,1,1,1,1,1,0.0,0.5612296656009272,0.5,0.5,0.5,1,1
73,1,2,1,1,1,1,0,1.0,0.8112296656009272,0.41666666666666663,0.41666666666666663,0.5,1,1
74,1,2,1,1,1,0,1,1.0,0.8112296656009272,0.41666666666666663,0.41666666666666663,0.5,1,1
75,1,2,1,1,1,0,0,2.0,0.5612296656009272,0.5,0.5,0.5,1,1
76,1,2,1,1,0,1,1,2.0,0.1887703343990727,0.75,0.75,0.5,1,1
77,1,2,1,1,0,1,0,3.0,0.1887703343990727,0.5,0.5,0.5,1,1
78,1,2,1,1,0,0,1,3.0,0.1887703343990727,0.5,0.5,0.5,1,1
79,1,2,1,1,0,0,0,0.0,0.1887703343990727,0.75,0.75,0.5,1,1
80,1,2,1,2,1,1,1,0.0,0.5463332999770348,0.23439531331312186,0.5463332999770348,0.5,1,1
81,1,2,1,2,1,1,0,2.0,0.7963332999770348,0.23439531331312186,0.20366670002296514,0.5,1,1
82,1,2,1,2,1,0,1,1.0,0.46299996664370147,0.43227135335354483,0.46299996664370147,0.5,1,1
83,1,2,1,2,1,0,0,3.0,0.5463332999770348,0.5156046866868782,0.20366670002296514,0.5,1,1
84,1,2,1,2,0,1,1,2.0,0.20366670002296514,0.23439531331312186,0.7963332999770348,0.5,1,1
85,1,2,1,2,0,1,0,4.0,0.20366670002296514,0.23439531331312186,0.20366670002296514,0.5,1,1
86,1,2,1,2,0,0,1,3.0,0.20366670002296514,0.5156046866868782,0.5463332999770348,0.5,1,1
87,1,2,1,2,0,0,0,0.0,0.20366670002296514,0.7656046866868782,0.20366670002296514,0.5,1,1
88,1,2,1,3,1,1,1,0.0,0.5310882504428991,0.2189117495571009,0.5895893495876965,0.5,1,1
89,1,2,1,3,1,1,0,3.0,0.7810882504428991,0.2189117495571009,0.16041065041230354,0.5,1,1
90,1,2,1,3,1,0,1,1.0,0.4477549171095657,0.4477549171095657,0.5062560162543631,0.5,1,1
91,1,2,1,3,1,0,0,4.0,0.5310882504428991,0.5310882504428991,0.16041065041230354,0.5,1,1
92,1,2,1,3,0,1,1,2.0,0.21891174955710097,0.2189117495571009,0.8395893495876965,0.5,1,1
93,1,2,1,3,0,1,0,5.0,0.21891174955710097,0.2189117495571009,0.16041065041230354,0.5,1,1
94,1,2,1,3,0,0,1,3.0,0.21891174955710097,0.5310882504428991,0.5895893495876965,0.5,1,1
95,1,2,1,3,0,0,0,0.0,0.21891174955710097,0.7810882504428991,0.16041065041230354,0.5,1,1
96,1,2,2,1,1,1,1,0.0,0.5463332999770348,0.5463332999770348,0.23439531331312186,0.5,1,1
