,trees,strength_a,strength_b,strength_c,action_a,action_b,action_c,reward,max,prior
0,1,1,1,1,1,1,1,0.0,2.0,0.0019801980198019802
1,1,1,1,1,1,1,0,1.0,2.0,0.0019801980198019802
2,1,1,1,1,1,0,1,1.0,2.0,0.0019801980198019802
3,1,1,1,1,1,0,0,2.0,2.0,0.0
4,1,1,1,1,0,1,1,1.0,2.0,0.0019801980198019802
5,1,1,1,1,0,1,0,2.0,2.0,0.0
6,1,1,1,1,0,0,1,2.0,2.0,0.0
7,1,1,1,1,0,0,0,0.0,2.0,0.0019801980198019802
8,1,1,1,2,1,1,1,0.0,3.0,0.0019801980198019802
9,1,1,1,2,1,1,0,2.0,3.0,0.0019801980198019802
10,1,1,1,2,1,0,1,1.0,3.0,0.0019801980198019802
11,1,1,1,2,1,0,0,3.0,3.0,0.0
12,1,1,1,2,0,1,1,1.0,3.0,0.0019801980198019802
13,1,1,1,2,0,1,0,3.0,3.0,0.0
14,1,1,1,2,0,0,1,2.0,3.0,0.0019801980198019802
15,1,1,1,2,0,0,0,0.0,3.0,0.0019801980198019802
16,1,1,1,3,1,1,1,0.0,4.0,0.0019801980198019802
17,1,1,1,3,1,1,0,3.0,4.0,0.0019801980198019802
18,1,1,1,3,1,0,1,1.0,4.0,0.0019801980198019802
19,1,1,1,3,1,0,0,4.0,4.0,0.0
20,1,1,1,3,0,1,1,1.0,4.0,0.0019801980198019802
21,1,1,1,3,0,1,0,4.0,4.0,0.0
22,1,1,1,3,0,0,1,2.0,4.0,0.0019801980198019802
23,1,1,1,3,0,0,0,0.0,4.0,0.0019801980198019802
24,1,1,2,1,1,1,1,0.0,3.0,0.0019801980198019802
25,1,1,2,1,1,1,0,1.0,3.0,0.0019801980198019802
26,1,1,2,1,1,0,1,2.0,3.0,0.0019801980198019802
27,1,1,2,1,1,0,0,3.0,3.0,0.0
28,1,1,2,1,0,1,1,1.0,3.0,0.0019801980198019802
29,1,1,2,1,0,1,0,2.0,3.0,0.0019801980198019802
30,1,1,2,1,0,0,1,3.0,3.0,0.0
31,1,1,2,1,0,0,0,0.0,3.0,0.0019801980198019802
32,1,1,2,2,1,1,1,0.0,4.0,0.0019801980198019802
33,1,1,2,2,1,1,0,2.0,4.0,0.0019801980198019802
34,1,1,2,2,1,0,1,2.0,4.0,0.0019801980198019802
35,1,1,2,2,1,0,0,4.0,4.0,0.0
36,1,1,2,2,0,1,1,1.0,4.0,0.0019801980198019802
37,1,1,2,2,0,1,0,3.0,4.0,0.0019801980198019802
38,1,1,2,2,0,0,1,3.0,4.0,0.0019801980198019802
39,1,1,2,2,0,0,0,0.0,4.0,0.0019801980198019802
40,1,1,2,3,1,1,1,0.0,5.0,0.0019801980198019802
41,1,1,2,3,1,1,0,3.0,5.0,0.0019801980198019802
42,1,1,2,3,1,0,1,2.0,5.0,0.0019801980198019802
43,1,1,2,3,1,0,0,5.0,5.0,0.0
44,1,1,2,3,0,1,1,1.0,5.0,0.0019801980198019802
45,1,1,2,3,0,1,0,4.0,5.0,0.0019801980198019802
46,1,1,2,3,0,0,1,3.0,5.0,0.0019801980198019802
47,1,1,2,3,0,0,0,0.0,5.0,0.0019801980198019802
48,1,1,3,1,1,1,1,0.0,4.0,0.0019801980198019802
49,1,1,3,1,1,1,0,1.0,4.0,0.0019801980198019802
50,1,1,3,1,1,0,1,3.0,4.0,0.0019801980198019802
51,1,1,3,1,1,0,0,4.0,4.0,0.0
52,1,1,3,1,0,1,1,1.0,4.0,0.0019801980198019802
53,1,1,3,1,0,1,0,2.0,4.0,0.0019801980198019802
54,1,1,3,1,0,0,1,4.0,4.0,0.0
55,1,1,3,1,0,0,0,0.0,4.0,0.0019801980198019802
56,1,1,3,2,1,1,1,0.0,5.0,0.0019801980198019802
57,1,1,3,2,1,1,0,2.0,5.0,0.0019801980198019802
58,1,1,3,2,1,0,1,3.0,5.0,0.0019801980198019802
59,1,1,3,2,1,0,0,5.0,5.0,0.0
60,1,1,3,2,0,1,1,1.0,5.0,0.0019801980198019802
61,1,1,3,2,0,1,0,3.0,5.0,0.0019801980198019802
62,1,1,3,2,0,0,1,4.0,5.0,0.0019801980198019802
63,1,1,3,2,0,0,0,0.0,5.0,0.0019801980198019802
64,1,1,3,3,1,1,1,0.0,6.0,0.0019801980198019802
65,1,1,3,3,1,1,0,3.0,6.0,0.0019801980198019802
66,1,1,3,3,1,0,1,3.0,6.0,0.0019801980198019802
67,1,1,3,3,1,0,0,6.0,6.0,0.0
68,1,1,3,3,0,1,1,1.0,6.0,0.0019801980198019802
69,1,1,3,3,0,1,0,4.0,6.0,0.0019801980198019802
70,1,1,3,3,0,0,1,4.0,6.0,0.0019801980198019802
71,1,1,3,3,0,0,0,0.0,6.0,0.0019801980198019802
72,1,2,1,1,1,1,1,0.0,3.0,0.0019801980198019802
73,1,2,1,1,1,1,0,1.0,3.0,0.0019801980198019802
74,1,2,1,1,1,0,1,1.0,3.0,0.0019801980198019802
75,1,2,1,1,1,0,0,2.0,3.0,0.0019801980198019802
76,1,2,1,1,0,1,1,2.0,3.0,0.0019801980198019802
77,1,2,1,1,0,1,0,3.0,3.0,0.0
78,1,2,1,1,0,0,1,3.0,3.0,0.0
79,1,2,1,1,0,0,0,0.0,3.0,0.0019801980198019802
80,1,2,1,2,1,1,1,0.0,4.0,0.0019801980198019802
81,1,2,1,2,1,1,0,2.0,4.0,0.0019801980198019802
82,1,2,1,2,1,0,1,1.0,4.0,0.0019801980198019802
83,1,2,1,2,1,0,0,3.0,4.0,0.0019801980198019802
84,1,2,1,2,0,1,1,2.0,4.0,0.0019801980198019802
85,1,2,1,2,0,1,0,4.0,4.0,0.0
86,1,2,1,2,0,0,1,3.0,4.0,0.0019801980198019802
87,1,2,1,2,0,0,0,0.0,4.0,0.0019801980198019802
88,1,2,1,3,1,1,1,0.0,5.0,0.0019801980198019802
89,1,2,1,3,1,1,0,3.0,5.0,0.0019801980198019802
90,1,2,1,3,1,0,1,1.0,5.0,0.0019801980198019802
91,1,2,1,3,1,0,0,4.0,5.0,0.0019801980198019802
92,1,2,1,3,0,1,1,2.0,5.0,0.0019801980198019802
93,1,2,1,3,0,1,0,5.0,5.0,0.0
94,1,2,1,3,0,0,1,3.0,5.0,0.0019801980198019802
95,1,2,1,3,0,0,0,0.0,5.0,0.0019801980198019802
96,1,2,2,1,1,1,1,0.0,4.0,0.0019801980198019802
97,1,2,2,1,1,1,0,1.0,4.0,0.0019801980198019802
98,1,2,2,1,1,0,1,2.0,4.0,0.0019801980198019802
99,1,2,2,1,1,0,0,3.0,4.0,0.0019801980198019802
100,1,2,2,1,0,1,1,2.0,4.0,0.0019801980198019802
101,1,2,2,1,0,1,0,3.0,4.0,0.0019801980198019802
102,1,2,2,1,0,0,1,4.0,4.0,0.0
103,1,2,2,1,0,0,0,0.0,4.0,0.0019801980198019802
104,1,2,2,2,1,1,1,0.0,4.0,0.0019801980198019802
105,1,2,2,2,1,1,0,2.0,4.0,0.0019801980198019802
106,1,2,2,2,1,0,1,2.0,4.0,0.0019801980198019802
107,1,2,2,2,1,0,0,4.0,4.0,0.0
108,1,2,2,2,0,1,1,2.0,4.0,0.0019801980198019802
109,1,2,2,2,0,1,0,4.0,4.0,0.0
110,1,2,2,2,0,0,1,4.0,4.0,0.0
111,1,2,2,2,0,0,0,0.0,4.0,0.0019801980198019802
112,1,2,2,3,1,1,1,0.0,5.0,0.0019801980198019802
113,1,2,2,3,1,1,0,3.0,5.0,0.0019801980198019802
114,1,2,2,3,1,0,1,2.0,5.0,0.0019801980198019802
115,1,2,2,3,1,0,0,5.0,5.0,0.0
116,1,2,2,3,0,1,1,2.0,5.0,0.0019801980198019802
117,1,2,2,3,0,1,0,5.0,5.0,0.0
118,1,2,2,3,0,0,1,4.0,5.0,0.0019801980198019802
119,1,2,2,3,0,0,0,0.0,5.0,0.0019801980198019802
120,1,2,3,1,1,1,1,0.0,5.0,0.0019801980198019802
121,1,2,3,1,1,1,0,1.0,5.0,0.0019801980198019802
122,1,2,3,1,1,0,1,3.0,5.0,0.0019801980198019802
123,1,2,3,1,1,0,0,4.0,5.0,0.0019801980198019802
124,1,2,3,1,0,1,1,2.0,5.0,0.0019801980198019802
125,1,2,3,1,0,1,0,3.0,5.0,0.0019801980198019802
126,1,2,3,1,0,0,1,5.0,5.0,0.0
127,1,2,3,1,0,0,0,0.0,5.0,0.0019801980198019802
128,1,2,3,2,1,1,1,0.0,5.0,0.0019801980198019802
129,1,2,3,2,1,1,0,2.0,5.0,0.0019801980198019802
130,1,2,3,2,1,0,1,3.0,5.0,0.0019801980198019802
131,1,2,3,2,1,0,0,5.0,5.0,0.0
132,1,2,3,2,0,1,1,2.0,5.0,0.0019801980198019802
