trees,strength_a,strength_b,strength_c,action_a,action_b,action_c,reward,blame_a,blame_b,blame_c,Unnamed: 0,max,post,model,trial_id
1,1,1,3,0,0,0,0.0,0.6149496646117294,0.6149496646117294,0.1508816977733238,23,4.0,0.691337433569196,rationality,0
2,1,1,3,0,0,0,0.0,0.540752575263654,0.540752575263654,0.5252777199414906,239,3.0,0.15435563863512172,rationality,0
3,1,1,3,0,0,0,0.0,0.4028877566245353,0.4028877566245353,0.6681576224117673,455,2.0,0.15430692779568228,rationality,0
1,3,1,1,0,0,0,0.0,0.1508816977733238,0.6149496646117293,0.6149496646117293,151,4.0,0.6828285104161755,rationality,1
2,3,1,1,0,0,0,0.0,0.5252777199414906,0.540752575263654,0.540752575263654,367,3.0,0.16069147032824235,rationality,1
3,3,1,1,0,0,0,0.0,0.6681576224117673,0.40288775662453535,0.40288775662453535,583,2.0,0.156480019255582,rationality,1
1,1,3,1,0,0,0,0.0,0.6149496646117293,0.1508816977733238,0.6149496646117293,55,4.0,0.1542845582077395,rationality,2
2,1,3,1,0,0,0,0.0,0.540752575263654,0.5252777199414906,0.540752575263654,271,3.0,0.15429160539061101,rationality,2
3,1,3,1,0,0,0,0.0,0.40288775662453535,0.6681576224117673,0.40288775662453535,487,2.0,0.6914238364016495,rationality,2
1,1,1,3,1,1,1,0.0,0.3850503353882706,0.3850503353882706,0.8491183022266762,16,4.0,0.6828285104161755,rationality,3
2,1,1,3,1,1,1,0.0,0.45924742473634605,0.45924742473634605,0.47472228005850936,232,3.0,0.16069147032824235,rationality,3
3,1,1,3,1,1,1,0.0,0.5971122433754648,0.5971122433754648,0.33184237758823265,448,2.0,0.156480019255582,rationality,3
1,3,1,1,1,1,1,0.0,0.8491183022266762,0.3850503353882707,0.3850503353882707,144,4.0,0.691337433569196,rationality,4
2,3,1,1,1,1,1,0.0,0.47472228005850936,0.45924742473634605,0.45924742473634605,360,3.0,0.15435563863512172,rationality,4
3,3,1,1,1,1,1,0.0,0.33184237758823265,0.5971122433754646,0.5971122433754646,576,2.0,0.15430692779568228,rationality,4
1,1,3,1,1,1,1,0.0,0.3850503353882707,0.8491183022266762,0.3850503353882707,48,4.0,0.1542845582077395,rationality,5
2,1,3,1,1,1,1,0.0,0.45924742473634605,0.47472228005850936,0.45924742473634605,264,3.0,0.15429160539061101,rationality,5
3,1,3,1,1,1,1,0.0,0.5971122433754646,0.33184237758823265,0.5971122433754646,480,2.0,0.6914238364016495,rationality,5
2,1,2,3,1,1,0,3.0,0.6704567184242847,0.3098835877322864,0.3843003842841298,257,4.0,0.2416005899524307,rationality,6
2,2,2,3,1,1,0,3.0,0.4910242522780043,0.4910242522780043,0.21237594282777375,329,5.0,0.17723389173107756,rationality,6
2,3,2,3,1,1,0,3.0,0.7349394648030241,0.36590559689448365,0.2650605351969759,401,6.0,0.5811655183164917,rationality,6
2,3,1,2,0,1,1,3.0,0.3843003842841298,0.6704567184242847,0.3098835877322864,372,4.0,0.1593238449780006,rationality,7
2,3,2,2,0,1,1,3.0,0.21237594282777372,0.4910242522780044,0.4910242522780044,396,5.0,0.6780553661461484,rationality,7
2,3,3,2,0,1,1,3.0,0.2650605351969759,0.7349394648030241,0.36590559689448365,420,6.0,0.16262078887585113,rationality,7
2,3,3,1,1,0,1,3.0,0.45828700998403316,0.5417129900159668,0.6768506660203502,410,4.0,0.6444763456065639,rationality,8
2,3,3,2,1,0,1,3.0,0.7349394648030241,0.2650605351969759,0.36590559689448365,418,6.0,0.16536441940082772,rationality,8
2,3,3,3,1,0,1,3.0,0.6372521764111692,0.36274782358883084,0.6372521764111692,426,6.0,0.19015923499260837,rationality,8
2,3,1,3,1,1,0,3.0,0.45828700998403316,0.6768506660203502,0.5417129900159668,377,4.0,0.15428452355114783,rationality,9
2,3,2,3,1,1,0,3.0,0.7349394648030241,0.36590559689448365,0.2650605351969759,401,6.0,0.6914239707704305,rationality,9
2,3,3,3,1,1,0,3.0,0.6372521764111692,0.6372521764111692,0.36274782358883084,425,6.0,0.15429150567842165,rationality,9
2,3,3,1,0,1,1,3.0,0.5417129900159668,0.45828700998403316,0.6768506660203502,412,4.0,0.15470455402431338,rationality,10
2,3,3,2,0,1,1,3.0,0.2650605351969759,0.7349394648030241,0.36590559689448365,420,6.0,0.15530851714570906,rationality,10
2,3,3,3,0,1,1,3.0,0.36274782358883084,0.6372521764111692,0.6372521764111692,428,6.0,0.6899869288299775,rationality,10
1,1,3,2,1,1,0,2.0,0.27720245099874397,0.831225757273927,0.39432759251956595,57,5.0,0.8175737761108844,rationality,11
1,1,3,2,0,1,0,3.0,0.722797549001256,0.831225757273927,0.39432759251956595,61,5.0,0.1824262238891156,rationality,11
1,1,2,3,1,0,1,2.0,0.27720245099874397,0.3943275925195659,0.831225757273927,42,5.0,0.1824262238891156,rationality,12
1,1,2,3,0,0,1,3.0,0.722797549001256,0.3943275925195659,0.831225757273927,46,5.0,0.8175737761108844,rationality,12
3,3,2,2,0,1,0,0.0,0.760270595005902,0.6237149503892622,0.37628504961073783,613,4.0,0.5,rationality,13
3,3,2,2,0,0,0,0.0,0.760270595005902,0.37628504961073783,0.37628504961073783,615,4.0,0.5,rationality,13
3,2,3,2,0,0,1,0.0,0.37628504961073783,0.760270595005902,0.6237149503892622,566,4.0,0.18269282357468147,rationality,14
3,2,3,2,0,0,0,0.0,0.37628504961073783,0.760270595005902,0.37628504961073783,567,4.0,0.8173071764253185,rationality,14
3,3,1,2,0,1,1,3.0,0.6463850710891902,0.4835619663030576,0.5848444206084087,588,3.0,0.18242552380635635,rationality,15
3,3,1,2,0,0,1,0.0,0.6463850710891902,0.5164380336969424,0.5848444206084087,590,3.0,0.8175744761936437,rationality,15
3,2,3,1,1,0,1,3.0,0.5848444206084087,0.6463850710891902,0.4835619663030575,554,3.0,0.18242552380635635,rationality,16
3,2,3,1,1,0,0,0.0,0.5848444206084087,0.6463850710891902,0.5164380336969425,555,3.0,0.8175744761936437,rationality,16
1,1,2,1,1,0,1,2.0,0.4694233689823639,0.29580017973136685,0.4694233689823639,26,3.0,0.026033533727177392,rationality,17
2,1,2,1,1,0,1,2.0,0.5155391194647896,0.5849833514440815,0.5155391194647896,242,2.0,0.0058256357394960235,rationality,17
3,1,2,1,1,0,1,0.0,0.5,0.5698130028166353,0.5,458,1.0,0.005832426753563553,rationality,17
1,1,2,1,0,0,1,3.0,0.5305766310176361,0.29580017973136685,0.4694233689823639,30,3.0,0.10806093289806509,rationality,17
2,1,2,1,0,0,1,0.0,0.48446088053521047,0.5849833514440815,0.5155391194647896,246,2.0,0.024181259422229956,rationality,17
3,1,2,1,0,0,1,0.0,0.5,0.5698130028166353,0.5,462,1.0,0.024209447808914278,rationality,17
1,1,2,1,1,0,0,3.0,0.4694233689823639,0.29580017973136685,0.5305766310176361,27,3.0,0.1080609328980651,rationality,17
2,1,2,1,1,0,0,0.0,0.5155391194647896,0.5849833514440815,0.48446088053521047,243,2.0,0.024181259422229956,rationality,17
3,1,2,1,1,0,0,0.0,0.5,0.5698130028166353,0.5,459,1.0,0.024209447808914278,rationality,17
1,1,2,1,0,0,0,0.0,0.5305766310176361,0.29580017973136685,0.5305766310176361,31,3.0,0.4485432266388751,rationality,17
2,1,2,1,0,0,0,0.0,0.48446088053521047,0.5849833514440815,0.48446088053521047,247,2.0,0.10037244575400973,rationality,17
3,1,2,1,0,0,0,0.0,0.5,0.5698130028166353,0.5,463,1.0,0.10048945112845951,rationality,17
3,1,1,3,1,1,1,0.0,0.5971122433754648,0.5971122433754648,0.33184237758823265,448,2.0,0.1533129196430604,rationality,18
3,2,1,3,1,1,1,0.0,0.5848444206084087,0.4835619663030576,0.3536149289108098,520,3.0,0.1622308148418817,rationality,18
3,3,1,3,1,1,1,0.0,0.45828700998403316,0.6768506660203502,0.45828700998403316,592,4.0,0.07600820286572456,rationality,18
3,1,2,3,1,1,1,0.0,0.4835619663030576,0.5848444206084087,0.3536149289108098,472,3.0,0.1622308148418817,rationality,18
3,2,2,3,1,1,1,0.0,0.6237149503892622,0.6237149503892622,0.239729404994098,544,4.0,0.1716674455455927,rationality,18
3,3,2,3,1,1,1,0.0,0.3942938421405776,0.8357854969103845,0.3942938421405776,616,5.0,0.0804294426998194,rationality,18
3,1,3,3,1,1,1,0.0,0.6768506660203502,0.45828700998403316,0.45828700998403316,496,4.0,0.07600820286572456,rationality,18
3,2,3,3,1,1,1,0.0,0.8357854969103845,0.3942938421405776,0.3942938421405776,568,5.0,0.0804294426998194,rationality,18
3,3,3,3,1,1,1,0.0,0.6372521764111692,0.6372521764111692,0.6372521764111692,640,6.0,0.037682713996495476,rationality,18
3,1,1,1,0,1,0,0.0,0.5,0.5,0.5,437,0.0,0.0281754147196701,rationality,19
3,1,2,1,0,1,0,0.0,0.5,0.4301869971833647,0.5,461,1.0,0.028230152768807693,rationality,19
3,1,3,1,0,1,0,2.0,0.40288775662453535,0.33184237758823265,0.40288775662453535,485,2.0,0.1260286049563289,rationality,19
3,1,1,1,0,0,0,0.0,0.5,0.5,0.5,439,0.0,0.12626612625968917,rationality,19
3,1,2,1,0,0,0,0.0,0.5,0.5698130028166353,0.5,463,1.0,0.12651143095147035,rationality,19
3,1,3,1,0,0,0,0.0,0.40288775662453535,0.6681576224117673,0.40288775662453535,487,2.0,0.5647882703440339,rationality,19
3,2,1,1,0,0,0,0.0,0.5698130028166353,0.5,0.5,511,1.0,0.15452413175616858,rationality,20
3,2,1,2,0,0,0,0.0,0.528704084939394,0.6166645608745863,0.528704084939394,519,2.0,0.15439539963121726,rationality,20
3,2,1,3,0,0,0,0.0,0.4151555793915913,0.5164380336969424,0.6463850710891902,527,3.0,0.6910804686126143,rationality,20
3,1,1,2,1,1,0,0.0,0.5,0.5,0.5698130028166353,441,1.0,0.25,rationality,21
3,1,1,2,0,1,0,0.0,0.5,0.5,0.5698130028166353,445,1.0,0.25,rationality,21
3,1,1,2,1,0,0,0.0,0.5,0.5,0.5698130028166353,443,1.0,0.25,rationality,21
3,1,1,2,0,0,0,0.0,0.5,0.5,0.5698130028166353,447,1.0,0.25,rationality,21
1,1,2,2,1,1,1,0.0,0.37695202287064344,0.6611840165925222,0.6611840165925222,32,4.0,0.18604936691300117,rationality,22
2,1,2,2,1,1,1,0.0,0.6563409932407713,0.45828700998403316,0.45828700998403304,248,3.0,0.16427565843668565,rationality,22
3,1,2,2,1,1,1,0.0,0.3833354391254137,0.471295915060606,0.471295915060606,464,2.0,0.6496749746503133,rationality,22
1,2,1,2,1,1,1,0.0,0.6611840165925222,0.37695202287064344,0.6611840165925222,80,4.0,0.2039044462188142,rationality,23
2,2,1,2,1,1,1,0.0,0.45828700998403316,0.6563409932407713,0.45828700998403304,296,3.0,0.3122018717195804,rationality,23
3,2,1,2,1,1,1,0.0,0.471295915060606,0.3833354391254137,0.471295915060606,512,2.0,0.4838936820616054,rationality,23
1,2,2,1,1,1,1,0.0,0.6611840165925222,0.6611840165925222,0.37695202287064344,96,4.0,0.691378774162529,rationality,24
2,2,2,1,1,1,1,0.0,0.45828700998403304,0.45828700998403304,0.6563409932407713,312,3.0,0.15429622763257347,rationality,24
3,2,2,1,1,1,1,0.0,0.471295915060606,0.471295915060606,0.38333543912541357,528,2.0,0.15432499820489756,rationality,24
1,2,3,1,1,1,1,0.0,0.605672407480434,0.831225757273927,0.2772024509987441,120,5.0,0.8175744751470863,rationality,25
1,2,3,1,1,0,1,3.0,0.605672407480434,0.16877424272607303,0.2772024509987441,122,5.0,0.18242552485291375,rationality,25
1,2,1,1,1,0,0,2.0,0.7041998202686331,0.5305766310176361,0.5305766310176361,75,3.0,0.8175723393990584,rationality,26
1,2,1,1,0,0,0,0.0,0.29580017973136685,0.5305766310176361,0.5305766310176361,79,3.0,0.18242766060094154,rationality,26
1,1,2,1,0,1,0,2.0,0.5305766310176361,0.7041998202686331,0.5305766310176361,29,3.0,0.18242766060094154,rationality,27
1,1,2,1,0,0,0,0.0,0.5305766310176361,0.29580017973136685,0.5305766310176361,31,3.0,0.8175723393990584,rationality,27
3,1,2,3,0,1,1,1.0,0.5164380336969424,0.5848444206084087,0.3536149289108098,476,3.0,0.23500371220159444,rationality,28
3,1,2,3,0,0,1,3.0,0.5164380336969424,0.4151555793915913,0.3536149289108098,478,3.0,0.1425369565965509,rationality,28
3,1,2,3,0,1,0,0.0,0.5164380336969424,0.5848444206084087,0.6463850710891902,477,3.0,0.38745561900026,rationality,28
3,1,2,3,0,0,0,0.0,0.5164380336969424,0.4151555793915913,0.6463850710891902,479,3.0,0.23500371220159444,rationality,28
3,3,1,2,1,0,1,1.0,0.3536149289108098,0.5164380336969424,0.5848444206084087,586,3.0,0.09123515434464863,rationality,29
3,3,1,2,0,0,1,0.0,0.6463850710891902,0.5164380336969424,0.5848444206084087,590,3.0,0.40879358747549877,rationality,29
3,3,1,2,1,0,0,3.0,0.3536149289108098,0.5164380336969424,0.41515557939159137,587,3.0,0.09122466588997401,rationality,29
3,3,1,2,0,0,0,0.0,0.6463850710891902,0.5164380336969424,0.41515557939159137,591,3.0,0.4087465922898786,rationality,29
2,1,1,2,1,1,0,2.0,0.5155391194647896,0.5155391194647896,0.5849833514440815,225,2.0,0.16427465350136372,rationality,30
2,1,1,2,0,1,0,0.0,0.48446088053521047,0.5155391194647896,0.5849833514440815,229,2.0,0.13741290188831254,rationality,30
2,1,1,2,1,0,0,0.0,0.5155391194647896,0.48446088053521047,0.5849833514440815,227,2.0,0.3802445040395483,rationality,30
2,1,1,2,0,0,0,0.0,0.48446088053521047,0.48446088053521047,0.5849833514440815,231,2.0,0.3180679405707756,rationality,30
2,2,1,1,0,1,1,2.0,0.5849833514440815,0.5155391194647896,0.5155391194647896,292,2.0,0.1425369565965509,rationality,31
2,2,1,1,0,0,1,0.0,0.5849833514440815,0.48446088053521047,0.5155391194647896,294,2.0,0.23500371220159444,rationality,31
2,2,1,1,0,1,0,0.0,0.5849833514440815,0.5155391194647896,0.48446088053521047,293,2.0,0.23500371220159444,rationality,31
