"","sID","trial","trial_ix","A_strength","B_strength","C_strength","A_choice","B_choice","C_choice","trees","fish"
"1",1,1,"10","???","???","3","???","???","???","???","???"
"2",1,2,"35","???","???","???","fish","???","???","???","???"
"3",1,3,"28","???","???","???","???","fish","trees","???","???"
"4",1,4,"33","???","3","???","???","???","???","???","???"
"5",1,5,"1","???","???","???","???","???","???","1 tree","???"
"6",1,6,"16","???","???","???","???","???","trees","???","???"
"7",1,7,"17","???","???","???","trees","???","trees","2 trees","???"
"8",1,8,"22","???","???","???","???","???","???","3 trees","???"
"9",1,9,"18","1","2","???","???","???","???","???","???"
"10",1,10,"14","???","???","???","???","???","trees","???","???"
"11",1,11,"27","???","???","???","???","trees","???","???","???"
"12",1,12,"att1","???","???","???","???","???","???","???","4"
"13",1,13,"2","???","???","???","???","???","???","1 tree","???"
"14",1,14,"29","???","???","???","trees","???","fish","???","???"
"15",1,15,"0","???","???","???","???","???","???","1 tree","???"
"16",1,16,"23","???","???","???","???","???","???","3 trees","???"
"17",1,17,"30","???","???","???","trees","trees","???","???","???"
"18",1,18,"6","2","???","???","???","???","???","???","???"
"19",1,19,"15","???","???","???","???","trees","???","???","???"
"20",1,20,"4","???","???","???","???","???","???","3 trees","???"
"21",1,21,"24","???","???","???","???","???","???","3 trees","???"
"22",1,22,"13","???","???","???","???","trees","???","???","???"
"23",1,23,"8","???","???","1","???","???","???","???","???"
"24",1,24,"att2","???","???","???","???","???","???","???","0"
"25",1,25,"20","???","???","3","???","???","???","???","???"
"26",1,26,"12","???","???","???","fish","???","???","???","???"
"27",1,27,"21","???","???","???","trees","trees","???","???","???"
"28",1,28,"26","???","???","???","trees","???","???","???","???"
"29",1,29,"31","???","???","???","???","trees","trees","???","???"
"30",1,30,"11","???","???","???","fish","???","???","???","???"
"31",1,31,"25","???","???","???","???","trees","???","???","???"
"32",1,32,"3","???","???","???","???","???","???","3 trees","???"
"33",1,33,"32","???","???","3","???","???","???","???","???"
"34",1,34,"5","???","???","???","???","???","???","3 trees","???"
"35",1,35,"9","???","1","???","???","???","???","???","???"
"36",1,36,"34","???","???","1","???","???","???","???","???"
"37",1,37,"19","???","3","???","???","fish","???","???","???"
"38",1,38,"7","???","2","???","???","???","???","???","???"
"39",2,1,"29","???","???","???","trees","???","fish","???","???"
"40",2,2,"5","???","???","???","???","???","???","3 trees","???"
"41",2,3,"19","???","3","???","???","fish","???","???","???"
"42",2,4,"6","1","???","???","???","???","???","???","???"
"43",2,5,"18","2","2","???","???","???","???","???","???"
"44",2,6,"12","???","???","???","fish","???","???","???","???"
"45",2,7,"22","???","???","???","???","???","???","1 tree","???"
"46",2,8,"32","???","???","1","???","???","???","???","???"
"47",2,9,"3","???","???","???","???","???","???","2 trees","???"
"48",2,10,"24","???","???","???","???","???","???","1 tree","???"
"49",2,11,"25","???","???","???","???","trees","???","???","???"
"50",2,12,"att1","???","???","???","???","???","???","???","4"
"51",2,13,"26","???","???","???","fish","???","???","???","???"
"52",2,14,"0","???","???","???","???","???","???","1 tree","???"
"53",2,15,"30","???","???","???","trees","fish","???","???","???"
"54",2,16,"7","???","2","???","???","???","???","???","???"
"55",2,17,"1","???","???","???","???","???","???","1 tree","???"
"56",2,18,"35","???","???","???","trees","???","???","???","???"
"57",2,19,"8","???","???","3","???","???","???","???","???"
"58",2,20,"11","???","???","???","fish","???","???","???","???"
"59",2,21,"16","???","???","???","???","???","trees","???","???"
"60",2,22,"14","???","???","???","???","???","fish","???","???"
"61",2,23,"31","???","???","???","???","fish","fish","???","???"
"62",2,24,"att2","???","???","???","???","???","???","???","0"
"63",2,25,"23","???","???","???","???","???","???","2 trees","???"
"64",2,26,"28","???","???","???","???","trees","fish","???","???"
"65",2,27,"27","???","???","???","???","trees","???","???","???"
"66",2,28,"33","???","2","???","???","???","???","???","???"
"67",2,29,"4","???","???","???","???","???","???","2 trees","???"
"68",2,30,"10","???","???","3","???","???","???","???","???"
"69",2,31,"17","???","???","???","trees","???","trees","1 tree","???"
"70",2,32,"13","???","???","???","???","fish","???","???","???"
"71",2,33,"2","???","???","???","???","???","???","3 trees","???"
"72",2,34,"34","???","???","2","???","???","???","???","???"
"73",2,35,"9","???","2","???","???","???","???","???","???"
"74",2,36,"21","???","???","???","trees","fish","???","???","???"
"75",2,37,"15","???","???","???","???","fish","???","???","???"
"76",2,38,"20","???","???","3","???","???","???","???","???"
"77",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",3,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",3,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",3,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",3,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",3,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",3,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",3,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",3,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",3,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",3,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",3,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",3,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
